Arn_x,DataSetId,Name,CreatedTime,LastUpdatedTime,ImportMode,RowLevelPermissionTagConfigurationApplied,ColumnLevelPermissionRulesApplied,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn_y,LastUpdatedTime_IST
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0117ad1d-8ccc-49dc-9c4f-d88ccd06445e,0117ad1d-8ccc-49dc-9c4f-d88ccd06445e,Auto_play_redshift,2023-01-18 07:28:53.524000+00:00,2023-09-10 13:33:09.064000+00:00,SPICE,False,False,Auto_play_redshift,f9bb8eab-53e4-46dd-a52f-d7e6508fbd4c,DAILY,,,Asia/Calcutta,18:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0117ad1d-8ccc-49dc-9c4f-d88ccd06445e/refresh-schedule/f9bb8eab-53e4-46dd-a52f-d7e6508fbd4c,2023-09-10 19:03:09.064000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/016a755e-c4b1-4ab9-adeb-829910f0749e,016a755e-c4b1-4ab9-adeb-829910f0749e,Transactions with state and city v2 - novels [redshift],2023-05-25 04:23:38.127000+00:00,2023-09-01 05:31:01.439000+00:00,SPICE,False,False,Transactions with state and city v2 - novels [redshift],b8a688dc-dd4b-4ba3-9f0d-e23256b18867,MONTHLY,,1,Asia/Calcutta,11:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/016a755e-c4b1-4ab9-adeb-829910f0749e/refresh-schedule/b8a688dc-dd4b-4ba3-9f0d-e23256b18867,2023-09-01 11:01:01.439000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0213bc13-ed27-46eb-a059-2a1bcfb79197,0213bc13-ed27-46eb-a059-2a1bcfb79197,IOS opt in Notifications Experiment,2023-05-08 09:26:56.601000+00:00,2023-09-11 04:56:09.671000+00:00,SPICE,False,False,IOS opt in Notifications Experiment,d577e6f6-d3f7-4b78-abf7-6b3aa8ac9820,DAILY,,,Asia/Calcutta,10:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0213bc13-ed27-46eb-a059-2a1bcfb79197/refresh-schedule/d577e6f6-d3f7-4b78-abf7-6b3aa8ac9820,2023-09-11 10:26:09.671000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021bc1dc-7b3e-4ff0-b1b0-68fcce317a3f,021bc1dc-7b3e-4ff0-b1b0-68fcce317a3f,Buyer Segmentation And Daily Revenue - Redshift,2023-03-22 07:46:05.605000+00:00,2023-09-11 04:26:19.179000+00:00,SPICE,False,False,Buyer Segmentation And Daily Revenue - Redshift,eab6290b-f1c7-49ad-972c-0545abb0537a,DAILY,,,Asia/Calcutta,09:55,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021bc1dc-7b3e-4ff0-b1b0-68fcce317a3f/refresh-schedule/eab6290b-f1c7-49ad-972c-0545abb0537a,2023-09-11 09:56:19.179000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021be15b-e814-4dfd-87a8-5597108d9e9f,021be15b-e814-4dfd-87a8-5597108d9e9f,Analytics Graphs: Chapter wise Valid Readers % Redshift,2023-04-20 17:11:57.274000+00:00,2023-09-10 12:58:31.997000+00:00,SPICE,False,False,Analytics Graphs: Chapter wise Valid Readers % Redshift,d6126ab3-8f7f-424f-9064-8fac4dbcac38,WEEKLY,SUNDAY,,Asia/Calcutta,17:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021be15b-e814-4dfd-87a8-5597108d9e9f/refresh-schedule/d6126ab3-8f7f-424f-9064-8fac4dbcac38,2023-09-10 18:28:31.997000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/025d3390-740a-4e84-abe7-761ec53d4593,025d3390-740a-4e84-abe7-761ec53d4593,Contest Reactivation Inactive Crosstab Funnel Novels,2023-05-31 06:52:02.270000+00:00,2023-09-11 10:31:16.794000+00:00,SPICE,False,False,Contest Reactivation Inactive Crosstab Funnel Novels,64e74e12-9ae5-41a3-8e33-337b6db494fc,DAILY,,,Asia/Calcutta,15:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/025d3390-740a-4e84-abe7-761ec53d4593/refresh-schedule/64e74e12-9ae5-41a3-8e33-337b6db494fc,2023-09-11 16:01:16.794000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02b4d947-bc5e-4996-9d39-5d8fa80217a6,02b4d947-bc5e-4996-9d39-5d8fa80217a6,Login Funnel D0,2023-06-02 09:12:29.857000+00:00,2023-09-11 09:45:56.879000+00:00,SPICE,False,False,Login Funnel D0,7adb50f6-15c6-4676-9f1e-d005943e2e61,DAILY,,,Asia/Calcutta,14:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02b4d947-bc5e-4996-9d39-5d8fa80217a6/refresh-schedule/7adb50f6-15c6-4676-9f1e-d005943e2e61,2023-09-11 15:15:56.879000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02c8fb8f-8361-4498-bb07-39785826e678,02c8fb8f-8361-4498-bb07-39785826e678,Experiment_uninstall_data_moengage,2023-07-11 06:47:08.070000+00:00,2023-09-11 11:42:55.384000+00:00,SPICE,False,False,Experiment_uninstall_data_moengage,5a8d1a5e-7934-43d8-8b2b-016fd7aa2e51,DAILY,,,Asia/Calcutta,16:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02c8fb8f-8361-4498-bb07-39785826e678/refresh-schedule/5a8d1a5e-7934-43d8-8b2b-016fd7aa2e51,2023-09-11 17:12:55.384000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0353c6e8-1026-46a9-b369-d1f35658115b,0353c6e8-1026-46a9-b369-d1f35658115b,Retention Fast Pass Buying User Novel Redshift,2023-04-04 18:45:14.381000+00:00,2023-09-11 11:22:22.348000+00:00,SPICE,False,False,Retention Fast Pass Buying User Novel Redshift,1e11e902-4727-4595-aa27-d39004b975a0,DAILY,,,Asia/Calcutta,16:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0353c6e8-1026-46a9-b369-d1f35658115b/refresh-schedule/1e11e902-4727-4595-aa27-d39004b975a0,2023-09-11 16:52:22.348000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/03ac8531-b5ba-4f9d-b72d-a20af30e9fc2,03ac8531-b5ba-4f9d-b72d-a20af30e9fc2,TPU and NPU on Device ID Redshift,2023-03-21 10:12:25.855000+00:00,2023-09-01 07:32:37.327000+00:00,SPICE,False,False,TPU and NPU on Device ID Redshift,16df760f-a0c1-4be3-bf04-e1d8e3501f02,MONTHLY,,1,Asia/Calcutta,13:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/03ac8531-b5ba-4f9d-b72d-a20af30e9fc2/refresh-schedule/16df760f-a0c1-4be3-bf04-e1d8e3501f02,2023-09-01 13:02:37.327000+00:00
