Arn_x,DataSetId,Name,CreatedTime,LastUpdatedTime,ImportMode,RowLevelPermissionTagConfigurationApplied,ColumnLevelPermissionRulesApplied,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn_y
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/003332d2-ead7-458c-925e-9686857bc603,003332d2-ead7-458c-925e-9686857bc603,creator_translator,2022-06-21 07:35:11.236000+00:00,2023-06-27 12:19:00.147000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0036642e-1a38-4bc6-99b3-1d74e06ce4b2,0036642e-1a38-4bc6-99b3-1d74e06ce4b2,Reactivation of Contracted Authors - Published_2.5k,2023-08-25 09:26:01.870000+00:00,2023-08-29 09:55:53.872000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/009d3bbc-97f1-4e2b-8a43-6bd73c53146c,009d3bbc-97f1-4e2b-8a43-6bd73c53146c,"Composite Metrics of New Show Payments, Monthly Payments, Total Activated Shows - Week Wise",2022-10-14 06:14:33.537000+00:00,2023-04-21 08:30:12.324000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/00ec5829-a736-496f-9c29-b74f85c4483a,00ec5829-a736-496f-9c29-b74f85c4483a,People Overview,2021-10-08 01:54:37.889000+00:00,2022-08-03 13:00:28.932000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/01089d37-d117-4899-93a5-78c21f918ff2,01089d37-d117-4899-93a5-78c21f918ff2,QS Sheet - Content Payment - Direct Channel Novel,2022-12-14 07:26:27.275000+00:00,2023-08-10 06:53:06.169000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0117ad1d-8ccc-49dc-9c4f-d88ccd06445e,0117ad1d-8ccc-49dc-9c4f-d88ccd06445e,Auto_play_redshift,2023-01-18 07:28:53.524000+00:00,2023-09-10 13:33:09.064000+00:00,SPICE,False,False,Auto_play_redshift,f9bb8eab-53e4-46dd-a52f-d7e6508fbd4c,DAILY,,,Asia/Calcutta,18:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0117ad1d-8ccc-49dc-9c4f-d88ccd06445e/refresh-schedule/f9bb8eab-53e4-46dd-a52f-d7e6508fbd4c
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0120a5ca-2cf2-4b70-8fab-3facdb3d8290,0120a5ca-2cf2-4b70-8fab-3facdb3d8290,do_coin_pricing_rolliing,2022-07-22 09:20:32.493000+00:00,2023-02-10 06:17:10.370000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/015d6204-ed69-4353-87db-9c17881fd67d,015d6204-ed69-4353-87db-9c17881fd67d,shoorveer_experiment,2022-04-28 10:59:56.173000+00:00,2022-05-19 12:29:21.274000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/016a755e-c4b1-4ab9-adeb-829910f0749e,016a755e-c4b1-4ab9-adeb-829910f0749e,Transactions with state and city v2 - novels [redshift],2023-05-25 04:23:38.127000+00:00,2023-09-01 05:31:01.439000+00:00,SPICE,False,False,Transactions with state and city v2 - novels [redshift],b8a688dc-dd4b-4ba3-9f0d-e23256b18867,MONTHLY,,1,Asia/Calcutta,11:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/016a755e-c4b1-4ab9-adeb-829910f0749e/refresh-schedule/b8a688dc-dd4b-4ba3-9f0d-e23256b18867
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/01833bbc-042a-4288-9f2b-4a8818c2b877,01833bbc-042a-4288-9f2b-4a8818c2b877,paying_conversion_rate,2022-05-23 11:03:44.177000+00:00,2022-05-23 13:44:42.482000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/01fed2a8-8da1-4d38-a644-335bd993e78f,01fed2a8-8da1-4d38-a644-335bd993e78f,People Overview,2023-04-03 05:46:06.085000+00:00,2023-04-03 05:46:20.490000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02085604-95d4-48ec-be5c-70557c116e70,02085604-95d4-48ec-be5c-70557c116e70,im_5hr_churn_reactivation_13th_march,2023-03-15 09:32:11.019000+00:00,2023-04-13 03:30:36.336000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0213bc13-ed27-46eb-a059-2a1bcfb79197,0213bc13-ed27-46eb-a059-2a1bcfb79197,IOS opt in Notifications Experiment,2023-05-08 09:26:56.601000+00:00,2023-09-11 04:56:09.671000+00:00,SPICE,False,False,IOS opt in Notifications Experiment,d577e6f6-d3f7-4b78-abf7-6b3aa8ac9820,DAILY,,,Asia/Calcutta,10:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0213bc13-ed27-46eb-a059-2a1bcfb79197/refresh-schedule/d577e6f6-d3f7-4b78-abf7-6b3aa8ac9820
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021bc1dc-7b3e-4ff0-b1b0-68fcce317a3f,021bc1dc-7b3e-4ff0-b1b0-68fcce317a3f,Buyer Segmentation And Daily Revenue - Redshift,2023-03-22 07:46:05.605000+00:00,2023-09-11 04:26:19.179000+00:00,SPICE,False,False,Buyer Segmentation And Daily Revenue - Redshift,eab6290b-f1c7-49ad-972c-0545abb0537a,DAILY,,,Asia/Calcutta,09:55,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021bc1dc-7b3e-4ff0-b1b0-68fcce317a3f/refresh-schedule/eab6290b-f1c7-49ad-972c-0545abb0537a
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021be15b-e814-4dfd-87a8-5597108d9e9f,021be15b-e814-4dfd-87a8-5597108d9e9f,Analytics Graphs: Chapter wise Valid Readers % Redshift,2023-04-20 17:11:57.274000+00:00,2023-09-10 12:58:31.997000+00:00,SPICE,False,False,Analytics Graphs: Chapter wise Valid Readers % Redshift,d6126ab3-8f7f-424f-9064-8fac4dbcac38,WEEKLY,SUNDAY,,Asia/Calcutta,17:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/021be15b-e814-4dfd-87a8-5597108d9e9f/refresh-schedule/d6126ab3-8f7f-424f-9064-8fac4dbcac38
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0254659c-ba8c-4d18-b272-b21162f297d9,0254659c-ba8c-4d18-b272-b21162f297d9,Audio_Trojan_User_behaviour,2021-08-27 07:37:58.201000+00:00,2022-03-13 08:00:05.470000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/025d3390-740a-4e84-abe7-761ec53d4593,025d3390-740a-4e84-abe7-761ec53d4593,Contest Reactivation Inactive Crosstab Funnel Novels,2023-05-31 06:52:02.270000+00:00,2023-09-11 10:31:16.794000+00:00,SPICE,False,False,Contest Reactivation Inactive Crosstab Funnel Novels,64e74e12-9ae5-41a3-8e33-337b6db494fc,DAILY,,,Asia/Calcutta,15:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/025d3390-740a-4e84-abe7-761ec53d4593/refresh-schedule/64e74e12-9ae5-41a3-8e33-337b6db494fc
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0286255d-960a-4d61-9382-f43eee7e4a1d,0286255d-960a-4d61-9382-f43eee7e4a1d,CPM_recovery,2023-04-18 12:12:35.024000+00:00,2023-04-28 11:19:56.835000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0298446f-871b-4d44-ba36-aed4e05640e5,0298446f-871b-4d44-ba36-aed4e05640e5,75P days for contracted author to republish (before&after contract),2023-08-01 10:13:07.678000+00:00,2023-08-02 11:27:44.777000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/029fb9ef-103e-464d-b303-f746dca4d6d2,029fb9ef-103e-464d-b303-f746dca4d6d2,Revised_listening_14,2021-12-28 15:16:01.595000+00:00,2021-12-28 15:21:12.848000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02b03997-78ab-4bef-9559-77390175902c,02b03997-78ab-4bef-9559-77390175902c,schedule_data,2022-07-28 12:54:05.056000+00:00,2023-06-02 06:01:13.890000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02b4d947-bc5e-4996-9d39-5d8fa80217a6,02b4d947-bc5e-4996-9d39-5d8fa80217a6,Login Funnel D0,2023-06-02 09:12:29.857000+00:00,2023-09-11 09:45:56.879000+00:00,SPICE,False,False,Login Funnel D0,7adb50f6-15c6-4676-9f1e-d005943e2e61,DAILY,,,Asia/Calcutta,14:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02b4d947-bc5e-4996-9d39-5d8fa80217a6/refresh-schedule/7adb50f6-15c6-4676-9f1e-d005943e2e61
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02c8fb8f-8361-4498-bb07-39785826e678,02c8fb8f-8361-4498-bb07-39785826e678,Experiment_uninstall_data_moengage,2023-07-11 06:47:08.070000+00:00,2023-09-11 11:42:55.384000+00:00,SPICE,False,False,Experiment_uninstall_data_moengage,5a8d1a5e-7934-43d8-8b2b-016fd7aa2e51,DAILY,,,Asia/Calcutta,16:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/02c8fb8f-8361-4498-bb07-39785826e678/refresh-schedule/5a8d1a5e-7934-43d8-8b2b-016fd7aa2e51
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/032231c7-f303-4b00-b30c-c1935959a51d,032231c7-f303-4b00-b30c-c1935959a51d,Free Shows Experiment - Show Level retention normalized,2023-09-08 04:18:27.642000+00:00,2023-09-11 05:53:39.336000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0353c6e8-1026-46a9-b369-d1f35658115b,0353c6e8-1026-46a9-b369-d1f35658115b,Retention Fast Pass Buying User Novel Redshift,2023-04-04 18:45:14.381000+00:00,2023-09-11 11:22:22.348000+00:00,SPICE,False,False,Retention Fast Pass Buying User Novel Redshift,1e11e902-4727-4595-aa27-d39004b975a0,DAILY,,,Asia/Calcutta,16:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0353c6e8-1026-46a9-b369-d1f35658115b/refresh-schedule/1e11e902-4727-4595-aa27-d39004b975a0
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0390f205-0035-44e4-97f4-786a5ef522a3,0390f205-0035-44e4-97f4-786a5ef522a3,india us campaign performance,2023-06-01 12:20:08.549000+00:00,2023-06-06 07:02:18.461000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/03ac8531-b5ba-4f9d-b72d-a20af30e9fc2,03ac8531-b5ba-4f9d-b72d-a20af30e9fc2,TPU and NPU on Device ID Redshift,2023-03-21 10:12:25.855000+00:00,2023-09-01 07:32:37.327000+00:00,SPICE,False,False,TPU and NPU on Device ID Redshift,16df760f-a0c1-4be3-bf04-e1d8e3501f02,MONTHLY,,1,Asia/Calcutta,13:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/03ac8531-b5ba-4f9d-b72d-a20af30e9fc2/refresh-schedule/16df760f-a0c1-4be3-bf04-e1d8e3501f02
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/03b8b4a9-a817-4374-9b2b-82da61b932a9,03b8b4a9-a817-4374-9b2b-82da61b932a9,Revenue Install v1,2021-02-22 15:21:22.563000+00:00,2022-01-04 07:22:01.806000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/03ba4294-a90f-4cf9-ad3b-8083608494b2,03ba4294-a90f-4cf9-ad3b-8083608494b2,show_revenue_retention,2022-08-30 13:21:51.907000+00:00,2022-09-01 12:45:58.538000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/03c8a057-51d9-481b-8388-7d6f6c112880,03c8a057-51d9-481b-8388-7d6f6c112880,Shows VIP Playtime,2021-01-19 08:48:33.752000+00:00,2022-05-31 22:06:00.263000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04073581-dff6-4562-8d8c-569853b0429b,04073581-dff6-4562-8d8c-569853b0429b,rewards_exp,2022-04-18 12:04:44.788000+00:00,2022-05-17 07:33:19.101000+00:00,SPICE,False,False,,,,,,,,,
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/040e90d9-6141-4648-9767-53f50fcfe007,040e90d9-6141-4648-9767-53f50fcfe007,att_permission_experiment,2023-03-03 09:25:09.696000+00:00,2023-05-29 03:48:35.465000+00:00,SPICE,False,False,,,,,,,,,
